本資料編號,段號,使用分區,使用地類別,魚塭號,縣市,鄉鎮區,漁編,段名,地號,環社分區,魚塭面積
61629,TD102500770000,一般農業區,農牧用地,862-1,屏東縣,林邊鄉,屏東縣林邊鄉862-1,成功段,77,關注減緩區,556.212
61631,TD102500830000,一般農業區,農牧用地,947,屏東縣,林邊鄉,屏東縣林邊鄉947,成功段,83,關注減緩區,16.721
61641,TD102500450000,一般農業區,農牧用地,843,屏東縣,林邊鄉,屏東縣林邊鄉843,成功段,45,關注減緩區,586.605
61645,TD102500420000,一般農業區,農牧用地,843,屏東縣,林邊鄉,屏東縣林邊鄉843,成功段,42,關注減緩區,1624.498
61646,TD102500440000,一般農業區,農牧用地,843,屏東縣,林邊鄉,屏東縣林邊鄉843,成功段,44,關注減緩區,273.973
61679,TD102900050000,一般農業區,農牧用地,1-1,屏東縣,林邊鄉,屏東縣林邊鄉1-1,竹林段,5,優先區,0.16
61691,TD102500200000,一般農業區,農牧用地,823,屏東縣,林邊鄉,屏東縣林邊鄉823,成功段,20,關注減緩區,350.443
61693,TD102500210000,一般農業區,農牧用地,823,屏東縣,林邊鄉,屏東縣林邊鄉823,成功段,21,關注減緩區,3192.031
61702,TD102503920000,一般農業區,農牧用地,1101-2,屏東縣,林邊鄉,屏東縣林邊鄉1101-2,成功段,392,關注減緩區,24.01
61703,TD102503920000,一般農業區,農牧用地,1101,屏東縣,林邊鄉,屏東縣林邊鄉1101,成功段,392,關注減緩區,31.042
61706,TD102401580000,一般農業區,農牧用地,775,屏東縣,林邊鄉,屏東縣林邊鄉775,銀放索段,158,關注減緩區,225.45
61707,TD102401580000,一般農業區,農牧用地,776,屏東縣,林邊鄉,屏東縣林邊鄉776,銀放索段,158,關注減緩區,364.003
61708,TD102401580000,一般農業區,農牧用地,777-1,屏東縣,林邊鄉,屏東縣林邊鄉777-1,銀放索段,158,關注減緩區,87.288
61709,TD102401580000,一般農業區,農牧用地,779,屏東縣,林邊鄉,屏東縣林邊鄉779,銀放索段,158,關注減緩區,209.639
61710,TD102401580000,一般農業區,農牧用地,777-3,屏東縣,林邊鄉,屏東縣林邊鄉777-3,銀放索段,158,關注減緩區,155.576
61711,TD102401580000,一般農業區,農牧用地,777,屏東縣,林邊鄉,屏東縣林邊鄉777,銀放索段,158,關注減緩區,88.347
61712,TD102401580000,一般農業區,農牧用地,779-1,屏東縣,林邊鄉,屏東縣林邊鄉779-1,銀放索段,158,關注減緩區,202.216
61713,TD102401580000,一般農業區,農牧用地,777-2,屏東縣,林邊鄉,屏東縣林邊鄉777-2,銀放索段,158,關注減緩區,50.424
61714,TD102401580000,一般農業區,農牧用地,779-2,屏東縣,林邊鄉,屏東縣林邊鄉779-2,銀放索段,158,關注減緩區,18.365
61718,TD102401590000,一般農業區,農牧用地,775,屏東縣,林邊鄉,屏東縣林邊鄉775,銀放索段,159,關注減緩區,90.775
61720,TD102401590000,一般農業區,農牧用地,776,屏東縣,林邊鄉,屏東縣林邊鄉776,銀放索段,159,關注減緩區,94.495
61722,TD102401590000,一般農業區,農牧用地,777-1,屏東縣,林邊鄉,屏東縣林邊鄉777-1,銀放索段,159,關注減緩區,62.605
61723,TD102401590000,一般農業區,農牧用地,777,屏東縣,林邊鄉,屏東縣林邊鄉777,銀放索段,159,關注減緩區,70.487
61736,TD055006250000,一般農業區,農牧用地,661,屏東縣,林邊鄉,屏東縣林邊鄉661,鎮林段,625,關注減緩區,517.602
61756,TD055006760000,一般農業區,農牧用地,804,屏東縣,林邊鄉,屏東縣林邊鄉804,鎮林段,676,關注減緩區,20.718
61759,TD055006850000,一般農業區,農牧用地,804,屏東縣,林邊鄉,屏東縣林邊鄉804,鎮林段,685,關注減緩區,194.859
61764,TD103003390000,一般農業區,農牧用地,86-2,屏東縣,林邊鄉,屏東縣林邊鄉86-2,下庄段,339,優先區,183.711
61765,TD103005160000,一般農業區,農牧用地,86-1,屏東縣,林邊鄉,屏東縣林邊鄉86-1,下庄段,516,優先區,13.026
61766,TD103005160000,一般農業區,農牧用地,86-5,屏東縣,林邊鄉,屏東縣林邊鄉86-5,下庄段,516,優先區,182.477
61767,TD103005160000,一般農業區,農牧用地,86-4,屏東縣,林邊鄉,屏東縣林邊鄉86-4,下庄段,516,優先區,0.731
61789,TD102911610000,一般農業區,農牧用地,24-1,屏東縣,林邊鄉,屏東縣林邊鄉24-1,竹林段,1161,優先區,537.309
61790,TD102911610000,一般農業區,農牧用地,24-2,屏東縣,林邊鄉,屏東縣林邊鄉24-2,竹林段,1161,優先區,368.946
61793,TD103004570000,一般農業區,農牧用地,86-2,屏東縣,林邊鄉,屏東縣林邊鄉86-2,下庄段,457,優先區,24.706
